"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Uria lomvia",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Uria aalge",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Cepphus grylle",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Cepphus columba",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Cepphus carbo",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Brachyramphus marmoratus",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Brachyramphus perdix",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Synthliboramphus craveri",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Synthliboramphus antiquus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Synthliboramphus wumizusume",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Aethia psittacula",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Aethia pusilla",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Aethia pygmaea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Aethia cristatella",NA,NA,NA,NA,NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Cerorhinca monocerata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fratercula corniculata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fratercula cirrhata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Somateria fischeri",NA,NA,"NT","Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus newelli","CR","Critically Endangered","CR","Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA
"Larus glaucoides","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides georgicus","LC","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
