"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Spheniscus magellanicus",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Spheniscus humboldti",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Spheniscus mendiculus",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Phoebastria immutabilis",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Diomedea exulans",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Diomedea antipodensis",NA,NA,"EN","Endangered","EN","Endangered","VU","Vulnerable",NA,NA,NA,NA
"Diomedea epomophora",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Diomedea sanfordi",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Phoebetria fusca",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Phoebetria palpebrata",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Thalassarche impavida",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Thalassarche cauta",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Thalassarche eremita",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Thalassarche salvini",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Thalassarche chrysostoma",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Thalassarche chlororhynchos",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
